"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 18:00:01 IST 2022","Tue May 03 18:00:15 IST 2022","13395","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i click on proceed to checkout button","When i click on proceed to checkout button",""
"broken","Sun May 01 19:21:27 IST 2022","Sun May 01 19:21:27 IST 2022","10","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Then i should see http://automationpractice.com/index.php?controller=my-account link displayed on page","Then i should see http://automationpractice.com/index.php?controller=my-account link displayed on page",""
"passed","Sat Apr 30 19:08:15 IST 2022","Sat Apr 30 19:08:15 IST 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"passed","Tue May 03 18:00:15 IST 2022","Tue May 03 18:00:15 IST 2022","241","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","Then i validate the product details Printed Chiffon Dress,In stock and $16.40","Then i validate the product details Printed Chiffon Dress,In stock and $16.40",""
"failed","Sun May 01 21:48:00 IST 2022","Sun May 01 21:48:01 IST 2022","231","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should successfully navigate to create account page , should see heading Create an account","Then i should successfully navigate to create account page , should see heading Create an account",""
"passed","Mon May 02 22:55:49 IST 2022","Mon May 02 22:55:49 IST 2022","1","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","",""
"passed","Mon May 02 22:55:48 IST 2022","Mon May 02 22:55:48 IST 2022","82","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should see a header with text CREATE AN ACCOUNT displayed on current page","Then i should see a header with text CREATE AN ACCOUNT displayed on current page",""
"passed","Sun May 01 21:30:45 IST 2022","Sun May 01 21:30:53 IST 2022","7693","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Given I open the browser and load the url http://automationpractice.com/index.php/","Given I open the browser and load the url http://automationpractice.com/index.php/",""
"unknown","Sun May 01 18:53:13 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651411393516","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","And i click on create an account button","And i click on create an account button",""
"broken","Mon May 02 12:57:52 IST 2022","Mon May 02 12:58:02 IST 2022","10096","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","And i enter first name neha and last name wadkar","And i enter first name neha and last name wadkar",""
"passed","Sat Apr 30 19:08:12 IST 2022","Sat Apr 30 19:08:15 IST 2022","3042","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"passed","Sun May 01 19:53:56 IST 2022","Sun May 01 19:54:04 IST 2022","8064","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","Given I open the browser and load the url http://automationpractice.com/index.php/","Given I open the browser and load the url http://automationpractice.com/index.php/",""
"passed","Mon May 02 12:57:42 IST 2022","Mon May 02 12:57:52 IST 2022","9455","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","Given I open the browser and load the url ""http://automationpractice.com/index.php?controller=authentication&back=my-account#account-creation""","Given I open the browser and load the url ""http://automationpractice.com/index.php?controller=authentication&back=my-account#account-creation""",""
"passed","Sun May 01 11:48:25 IST 2022","Sun May 01 11:48:34 IST 2022","8230","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","Given I open the browser and load the url http://automationpractice.com/index.php","Given I open the browser and load the url http://automationpractice.com/index.php",""
"broken","Sun May 01 19:19:27 IST 2022","Sun May 01 19:20:27 IST 2022","60026","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","Given I open the browser and load the url ""http://automationpractice.com/index.php""","Given I open the browser and load the url ""http://automationpractice.com/index.php""",""
"passed","Mon May 02 18:36:11 IST 2022","Mon May 02 18:36:11 IST 2022","251","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter valid mobile number +1-9737896555","And i enter valid mobile number +1-9737896555",""
"passed","Sun May 01 21:30:57 IST 2022","Sun May 01 21:30:57 IST 2022","1","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","",""
"failed","Mon May 02 11:02:31 IST 2022","Mon May 02 11:02:31 IST 2022","63","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","Then I should see a header with text ""Create an account""","Then I should see a header with text ""Create an account""",""
"passed","Mon May 02 22:55:45 IST 2022","Mon May 02 22:55:46 IST 2022","207","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then I should see a header with text Automation Practice Website","Then I should see a header with text Automation Practice Website",""
"passed","Mon May 02 22:55:46 IST 2022","Mon May 02 22:55:48 IST 2022","2688","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","When i click on sign in link","When i click on sign in link",""
"broken","Tue May 03 00:08:10 IST 2022","Tue May 03 00:08:10 IST 2022","2","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","Given i log in to the Website with username testuser1.04.22@gmail.com and password TestUser@1234","Given i log in to the Website with username testuser1.04.22@gmail.com and password TestUser@1234",""
"failed","Mon May 02 22:19:53 IST 2022","Mon May 02 22:20:03 IST 2022","10102","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should see a header with text """" displayed on current page","Then i should see a header with text """" displayed on current page",""
"passed","Sun May 01 11:48:34 IST 2022","Sun May 01 11:48:34 IST 2022","2","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","","",""
"passed","Sun May 01 21:30:53 IST 2022","Sun May 01 21:30:53 IST 2022","103","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then I should see a header with text Automation Practice Website","Then I should see a header with text Automation Practice Website",""
"broken","Tue May 03 13:48:10 IST 2022","Tue May 03 13:48:10 IST 2022","2","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i click on the dress to purchase","When i click on the dress to purchase",""
"passed","Tue May 03 17:58:59 IST 2022","Tue May 03 17:59:57 IST 2022","57947","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i search the dress Printed Chiffon Dress and click on add to cart","When i search the dress Printed Chiffon Dress and click on add to cart",""
"passed","Mon May 02 18:35:55 IST 2022","Mon May 02 18:35:55 IST 2022","37","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","When i select gender title Mrs.","When i select gender title Mrs.",""
"passed","Mon May 02 22:55:46 IST 2022","Mon May 02 22:55:46 IST 2022","128","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should see sign in http://automationpractice.com/index.php?controller=my-account link displayed on page","Then i should see sign in http://automationpractice.com/index.php?controller=my-account link displayed on page",""
"broken","Tue May 03 20:11:00 IST 2022","Tue May 03 20:11:23 IST 2022","22423","","The Automation Practice Website","","The Automation Practice Website","As a user, I want to login to this website,register account and validate details on landing page","As a user, I want to login to this website,register account and validate details on landing page",""
"failed","Sun May 01 00:05:01 IST 2022","Sun May 01 00:05:02 IST 2022","222","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","Then I should see a header message with text Automation Practice Websit","Then I should see a header message with text Automation Practice Websit",""
"broken","Sun May 01 19:03:15 IST 2022","Sun May 01 19:04:15 IST 2022","60009","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Given I open the browser and load the url <homepage>","Given I open the browser and load the url <homepage>",""
"unknown","Sun May 01 18:53:13 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651411393514","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Then i should see header with text Create an account","Then i should see header with text Create an account",""
"passed","Mon May 02 18:35:59 IST 2022","Mon May 02 18:35:59 IST 2022","62","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","Then i validate my email id testuser1.04.23@gmail.com is autopulated","Then i validate my email id testuser1.04.23@gmail.com is autopulated",""
"passed","Mon May 02 18:35:59 IST 2022","Mon May 02 18:35:59 IST 2022","237","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter password TestUser@12345","And i enter password TestUser@12345",""
"passed","Mon May 02 18:35:46 IST 2022","Mon May 02 18:35:47 IST 2022","111","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","When i click on sign in link","When i click on sign in link",""
"passed","Sun May 01 21:30:53 IST 2022","Sun May 01 21:30:53 IST 2022","77","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then i should see sign in http://automationpractice.com/index.php?controller=my-account link displayed on page","Then i should see sign in http://automationpractice.com/index.php?controller=my-account link displayed on page",""
"passed","Mon May 02 18:35:55 IST 2022","Mon May 02 18:35:59 IST 2022","3847","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter first name neha and last name wadkar","And i enter first name neha and last name wadkar",""
"passed","Sun May 01 19:52:41 IST 2022","Sun May 01 19:52:45 IST 2022","4230","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","Given I open the browser and load the url https://www.amazon.in/","Given I open the browser and load the url https://www.amazon.in/",""
"failed","Sun May 01 20:38:16 IST 2022","Sun May 01 20:38:20 IST 2022","3280","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then i should see header with text Create an account displayed on current page","Then i should see header with text Create an account displayed on current page",""
"passed","Tue May 03 16:31:29 IST 2022","Tue May 03 16:32:10 IST 2022","40971","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i select the dress Printed Chiffon Dress and click on add to cart","When i select the dress Printed Chiffon Dress and click on add to cart",""
"passed","Sun May 01 00:04:14 IST 2022","Sun May 01 00:04:14 IST 2022","128","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","Then I should see a header message with text Automation Practice Website","Then I should see a header message with text Automation Practice Website",""
"passed","Mon May 02 22:55:36 IST 2022","Mon May 02 22:55:45 IST 2022","9074","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Given I open the browser and load the url http://automationpractice.com/index.php/","Given I open the browser and load the url http://automationpractice.com/index.php/",""
"passed","Tue May 03 15:52:11 IST 2022","Tue May 03 15:52:19 IST 2022","8119","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","Then i validate dress Dresses on page","Then i validate dress Dresses on page",""
"failed","Mon May 02 22:21:52 IST 2022","Mon May 02 22:22:02 IST 2022","10099","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should see a header with text ""CREATE AN ACCOUNT"" displayed on current page","Then i should see a header with text ""CREATE AN ACCOUNT"" displayed on current page",""
"passed","Mon May 02 10:13:42 IST 2022","Mon May 02 10:13:42 IST 2022","366","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","Given I open the browser and load the url ""http://automationpractice.com/index.php?controller=authentication""","Given I open the browser and load the url ""http://automationpractice.com/index.php?controller=authentication""",""
"passed","Sun May 01 21:26:46 IST 2022","Sun May 01 21:26:47 IST 2022","300","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","When i enter valid email address testuser1.04.22 in the textbox","When i enter valid email address testuser1.04.22 in the textbox",""
"broken","Mon May 02 14:38:12 IST 2022","Mon May 02 14:38:12 IST 2022","2","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","Then i address section","Then i address section",""
"unknown","Sun May 01 18:53:13 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651411393509","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Then i should see signin link displayed on page","Then i should see signin link displayed on page",""
"passed","Sun May 01 19:21:27 IST 2022","Sun May 01 19:21:27 IST 2022","6","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","","",""
"broken","Sun May 01 20:04:36 IST 2022","Sun May 01 20:04:36 IST 2022","39","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","When i click on sign in http://automationpractice.com/index.php?controller=my-account  link","When i click on sign in http://automationpractice.com/index.php?controller=my-account  link",""
"passed","Mon May 02 18:35:59 IST 2022","Mon May 02 18:35:59 IST 2022","3","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i navigate to your address section , fill out mandatory details","And i navigate to your address section , fill out mandatory details",""
"passed","Sat Apr 30 19:08:11 IST 2022","Sat Apr 30 19:08:12 IST 2022","588","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Tue May 03 17:59:57 IST 2022","Tue May 03 18:00:01 IST 2022","4133","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","Then i validate the message Product successfully added to your shopping cart displayed on the page","Then i validate the message Product successfully added to your shopping cart displayed on the page",""
"passed","Sun May 01 19:54:04 IST 2022","Sun May 01 19:54:04 IST 2022","1","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","","",""
"unknown","Mon May 02 22:11:16 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651509676717","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should successfully navigate to create account page , should see heading CREATE AN ACCOUNT","Then i should successfully navigate to create account page , should see heading CREATE AN ACCOUNT",""
"broken","Sat Apr 30 23:30:13 IST 2022","Sat Apr 30 23:31:13 IST 2022","60068","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","Given I open the browser and load the url <homepage>","Given I open the browser and load the url <homepage>",""
"passed","Mon May 02 22:55:49 IST 2022","Mon May 02 22:55:49 IST 2022","135","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","And i click on Create an account button","And i click on Create an account button",""
"passed","Mon May 02 18:36:00 IST 2022","Mon May 02 18:36:11 IST 2022","10928","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter address details park avenue,newyork,New York,10001,United States","And i enter address details park avenue,newyork,New York,10001,United States",""
"passed","Sat Apr 30 19:08:15 IST 2022","Sat Apr 30 19:08:15 IST 2022","96","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"unknown","Tue May 03 13:48:10 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651565890524","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","And i click on add product button","And i click on add product button",""
"passed","Sun May 01 21:30:53 IST 2022","Sun May 01 21:30:53 IST 2022","39","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","When i click on sign in link","When i click on sign in link",""
"broken","Sun May 01 19:20:27 IST 2022","Sun May 01 19:21:27 IST 2022","60014","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Given I open the browser and load the url ""http://automationpractice.com/index.php""","Given I open the browser and load the url ""http://automationpractice.com/index.php""",""
"passed","Sat Apr 30 19:08:10 IST 2022","Sat Apr 30 19:08:11 IST 2022","1539","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"unknown","Sun May 01 18:53:13 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651411393513","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","When i click on signin link","When i click on signin link",""
"passed","Sun May 01 21:30:57 IST 2022","Sun May 01 21:30:57 IST 2022","6","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","And i click on Create an account button","And i click on Create an account button",""
"passed","Sun May 01 21:30:53 IST 2022","Sun May 01 21:30:56 IST 2022","2956","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then i should see a header with text ""CREATE AN ACCOUNT"" displayed on current page","Then i should see a header with text ""CREATE AN ACCOUNT"" displayed on current page",""
"unknown","Sun May 01 18:53:13 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1651411393515","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","When i enter valid email address testuser1.04.22@gmail.com","When i enter valid email address testuser1.04.22@gmail.com",""
"broken","Sun May 01 19:32:23 IST 2022","Sun May 01 19:33:23 IST 2022","60080","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","Given I open the browser and load the url <homepage>","Given I open the browser and load the url <homepage>",""
"broken","Sun May 01 18:53:13 IST 2022","Sun May 01 18:53:13 IST 2022","1","","The Automation Practice Website: As a user,i want to create an account","","The Automation Practice Website: As a user,i want to create an account","Then i should succesfully  navigate to createaccountpage","Then i should succesfully  navigate to createaccountpage",""
"passed","Mon May 02 12:58:02 IST 2022","Mon May 02 12:58:02 IST 2022","1","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","","",""
"passed","Sun May 01 11:48:34 IST 2022","Sun May 01 11:48:34 IST 2022","175","","The Automation Practice Website: As a user, I want to create account and login to this Website","","The Automation Practice Website: As a user, I want to create account and login to this Website","Then I should see a header with text Automation Practice Website","Then I should see a header with text Automation Practice Website",""
"passed","Sat Apr 30 19:08:11 IST 2022","Sat Apr 30 19:08:11 IST 2022","192","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Sun May 01 21:30:56 IST 2022","Sun May 01 21:30:57 IST 2022","467","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","When i enter valid email address testuser1.04.22@gmail.com in the textbox","When i enter valid email address testuser1.04.22@gmail.com in the textbox",""
"passed","Mon May 02 18:35:59 IST 2022","Mon May 02 18:36:00 IST 2022","429","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter fname neha and lname wadkar","And i enter fname neha and lname wadkar",""
"passed","Mon May 02 18:35:55 IST 2022","Mon May 02 18:35:55 IST 2022","10","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i click on Create an account button","And i click on Create an account button",""
"passed","Sun May 01 20:42:09 IST 2022","Sun May 01 20:42:12 IST 2022","2504","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then i should see header with text CREATE AN ACCOUNT displayed on current page","Then i should see header with text CREATE AN ACCOUNT displayed on current page",""
"passed","Tue May 03 17:58:36 IST 2022","Tue May 03 17:58:59 IST 2022","23586","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","Given i log in to the website http://automationpractice.com/index.php with username testuser1.04.22@gmail.com and password TestUser@1234","Given i log in to the website http://automationpractice.com/index.php with username testuser1.04.22@gmail.com and password TestUser@1234",""
"passed","Mon May 02 12:57:52 IST 2022","Mon May 02 12:57:52 IST 2022","59","","The Automation Practice Website: As a user, I want to register to this website","","The Automation Practice Website: As a user, I want to register to this website","When i select gender title Mrs.","When i select gender title Mrs.",""
"passed","Mon May 02 18:35:55 IST 2022","Mon May 02 18:35:55 IST 2022","236","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","Then i successfully land on create account page , see heading ""AUTHENTICATION""","Then i successfully land on create account page , see heading ""AUTHENTICATION""",""
